sex,age,status,roomservice,room_price,region,accomodation,nights,minibar,visits2016,visits5years,total_expenditure,club_member,ranking
F,21,single,0,245,Bordum,standard,3,26,0,3,3385,FALSE,5
F,99,single,0,208,Kamarina,junior suite,3,3,0,3,2851,FALSE,2
F,99,single,0,186,Provence,deluxe villa,1,16,0,3,1518,FALSE,1
F,20,single,0,113,Eilat,standard,2,3,0,2,1080,FALSE,1
F,27,single,0,100,Eilat,junior suite,7,17,0,2,1956,FALSE,2
F,27,single,0,153,Eilat,deluxe villa,4,28,0,1,-200,TRUE,7
F,23,single,0,157,Eilat,deluxe villa,2,28,1,6,2840,TRUE,6
F,25,single,0,130,Eilat,deluxe villa,5,12,0,1,1247,FALSE,3
F,25,single,1,158,Eilat,deluxe villa,5,0,0,1,2143,FALSE,4
F,27,single,2,105,Eilat,deluxe villa,5,20,1,1,1717,TRUE,1
F,30,couple,0,103,Eilat,deluxe villa,3,5,2,3,1335,TRUE,3
F,25,couple,1,126,Eilat,standard,4,19,1,2,1865,FALSE,1
F,22,NA,1,94,Bordum,junior suite,2,16,0,3,1227,FALSE,4
F,99,family,2,176,Kamarina,standard,1,8,2,3,1599,FALSE,4
F,24,single,0,228,Provence,junior suite,1,19,1,2,2432,FALSE,2
F,26,single,0,103,Eilat,standard,6,22,1,4,1729,FALSE,7
F,30,single,0,118,Eilat,junior suite,7,8,1,5,2128,FALSE,2
F,20,single,0,144,Eilat,standard,4,9,0,1,1836,FALSE,3
F,30,single,2,102,Eilat,junior suite,4,1,1,6,1666,FALSE,2
F,36,single,1,128,Eilat,standard,2,0,0,3,1508,FALSE,4
F,33,single,0,197,Eilat,junior suite,4,13,0,2,4039,FALSE,1
F,50,single,0,130,Eilat,deluxe villa,14,8,0,3,3103,FALSE,2
F,53,single,0,91,Eilat,deluxe villa,8,1,0,2,1722,FALSE,5
F,45,single,0,159,Eilat,deluxe villa,12,3,0,3,4971,FALSE,3
F,56,single,0,238,Bordum,deluxe villa,6,12,1,5,3838,FALSE,2
F,34,single,0,128,Kamarina,deluxe villa,4,5,0,1,-3000,FALSE,3
F,58,single,0,148,Provence,deluxe villa,11,8,1,2,-120,FALSE,2
F,45,single,0,139,Eilat,deluxe villa,8,14,1,1,1871,FALSE,3
F,35,single,0,219,Eilat,deluxe villa,4,2,1,1,2738,FALSE,3
F,48,single,0,146,Eilat,deluxe villa,1,2,0,2,902,FALSE,3
F,56,single,1,188,Eilat,deluxe villa,7,6,1,6,3001,FALSE,3
F,55,couple,2,146,Eilat,deluxe villa,11,13,0,3,2484,FALSE,3
F,53,NA,0,104,Eilat,deluxe villa,3,8,2,4,996,FALSE,2
F,52,couple,0,149,Eilat,deluxe villa,5,11,2,5,1326,FALSE,4
F,57,couple,5,141,Eilat,deluxe villa,9,12,2,4,2310,FALSE,4
F,41,couple,1,130,Eilat,deluxe villa,3,12,2,3,1490,FALSE,5
F,35,couple,4,122,Bordum,deluxe villa,4,11,1,1,1634,FALSE,4
F,31,couple,3,169,Bordum,deluxe villa,5,9,0,2,2745,FALSE,3
F,35,couple,0,148,Bordum,standard,4,7,0,3,1709,FALSE,2
F,99,couple,4,136,Bordum,junior suite,2,13,2,3,1117,FALSE,3
F,99,couple,3,106,Bordum,standard,13,13,1,6,2730,FALSE,2
F,59,NA,3,NA,Bordum,junior suite,9,3,2,3,3499,FALSE,3
F,55,NA,1,127,Bordum,standard,9,4,0,3,2314,FALSE,1
F,31,NA,1,100,Bordum,junior suite,6,8,0,3,1309,FALSE,2
F,41,couple,4,137,Bordum,standard,7,14,NA,3,2290,FALSE,1
F,56,couple,0,124,Bordum,junior suite,4,9,NA,3,1855,FALSE,4
F,35,couple,5,122,Bordum,standard,1,6,NA,3,-700,FALSE,3
F,46,couple,2,NA,Bordum,junior suite,14,4,NA,5,2197,FALSE,4
F,56,couple,1,117,Bordum,standard,14,13,NA,1,3066,FALSE,1
F,31,couple,0,126,Bordum,junior suite,2,13,NA,4,1460,FALSE,5
F,41,couple,4,110,Bordum,standard,12,7,NA,4,2338,FALSE,1
F,48,couple,0,142,Bordum,junior suite,5,15,NA,5,1702,FALSE,3
F,53,NA,3,167,Bordum,standard,12,1,NA,1,3799,FALSE,4
F,52,NA,3,126,Bordum,junior suite,14,3,NA,3,3035,FALSE,2
F,52,couple,0,108,Bordum,standard,6,10,NA,4,1430,FALSE,3
F,41,couple,2,97,Bordum,junior suite,1,3,NA,5,829,FALSE,5
F,51,couple,5,162,Bordum,standard,12,4,NA,2,5917,FALSE,5
